CPU Usage,	peer0,	peer1,	peer2
10 Users,	3.63,	3.16,	3.14
20 Users,	3.63,	3.16,	3.14
50 Users,	3.62,	2.93,	2.72
100 Users,	3.63,	3.16,	3.14
150 Users,	3.63,	3.16,	3.14
