Throughput,	No Blockchain,	2 Orderer,	3 Orderer
10 Users,	46.2,	45.4,	54.8
20 Users,	48.8,	51.5,	53.4
50 Users,	53,	    59.9,	63.8
100 Users,	55.6,	59.5,	66.3
150 Users,	57.1,	60.5,	64.6
