CPU Usage,	peer0,	peer1,	peer2
10 Users,	3.29,	2.43,	2.78
20 Users,	3.14,	2.51,	2.46
50 Users,	4.49,	2.83,	2.81
100 Users,	3.86,	2.91,	3.16
150 Users,	4.08,	2.89,	2.7
