Ram Usage,	peer0,	peer1,	peer2
10 Users,	0.48,	0.25,	0.48
20 Users,	0.54,	0.26,	0.49
50 Users,	0.68,	0.45,	0.67
100 Users,	0.58,	0.36,	0.58
150 Users,	0.6,	0.39,	0.61
