Ram Usage,	peer0,	peer1,	peer2
10 Users,	0.78,	0.57,	0.78
20 Users,	0.78,	0.57,	0.78
50 Users,	0.49,	0.65,	0.74
100 Users,	0.78,	0.57,	0.78
150 Users,	0.78,	0.57,	0.78
