CPU Usage,	peer0,	peer1,	peer2
10 Users,	2.18,	2.63,	3.57
20 Users,	2.24,	2.29,	2.31
50 Users,	3.76,	4.13,	3.85
100 Users,	3.4,	3.29,	3.34
150 Users,	3.57,	3.54,	3.56
